"name","rating","is_fav","link"
"Anora",8,TRUE,"https://www.filmweb.pl/film/Anora-2024-10051624"
"Lany poniedziałek",6,FALSE,"https://www.filmweb.pl/film/Lany+poniedzia%C5%82ek-2024-10031796"
"Wicked",7,FALSE,"https://www.filmweb.pl/film/Wicked-2024-528758"
"Rzeczy niezbędne",7,FALSE,"https://www.filmweb.pl/film/Rzeczy+niezb%C4%99dne-2024-10055769"
"Listy do M. Pożegnania i powroty",4,FALSE,"https://www.filmweb.pl/film/Listy+do+M.+Po%C5%BCegnania+i+powroty-2024-10049439"
"Cisza nocna",5,FALSE,"https://www.filmweb.pl/film/Cisza+nocna-2024-10056356"
"Minghun",8,FALSE,"https://www.filmweb.pl/film/Minghun-2024-10032952"
"Sezony",7,FALSE,"https://www.filmweb.pl/film/Sezony-2024-10039212"
"Wrooklyn Zoo",5,FALSE,"https://www.filmweb.pl/film/Wrooklyn+Zoo-2024-10037918"
"Pod wulkanem",7,FALSE,"https://www.filmweb.pl/film/Pod+wulkanem-2024-10056844"
"Kulej. Dwie strony medalu",7,FALSE,"https://www.filmweb.pl/film/Kulej.+Dwie+strony+medalu-2024-10043963"
"Smok Diplodok",6,FALSE,"https://www.filmweb.pl/film/Smok+Diplodok-2024-761330"
"Drużyna A(A)",4,FALSE,"https://www.filmweb.pl/film/Dru%C5%BCyna+A%28A%29-2024-10040857"
"Motocykliści",6,FALSE,"https://www.filmweb.pl/film/Motocykli%C5%9Bci-2023-10017358"
"Mean Girls",7,FALSE,"https://www.filmweb.pl/film/Mean+Girls-2024-10033240"
"Kung Fu Panda 4",6,FALSE,"https://www.filmweb.pl/film/Kung+Fu+Panda+4-2024-10017598"
"Dziewczyna influencera",1,FALSE,"https://www.filmweb.pl/film/Dziewczyna+influencera-2024-10044213"
"Kneecap. Hip-hopowa rewolucja",8,FALSE,"https://www.filmweb.pl/film/Kneecap.+Hip-hopowa+rewolucja-2024-10047578"
"Gladiator II",5,FALSE,"https://www.filmweb.pl/film/Gladiator+II-2024-837508"
"Kobieta w klatce",3,FALSE,"https://www.filmweb.pl/film/Kobieta+w+klatce-2013-672278"
"Terrifier 3",6,FALSE,"https://www.filmweb.pl/film/Terrifier+3-2024-10030642"
"Dziewczyna z igłą",8,TRUE,"https://www.filmweb.pl/film/Dziewczyna+z+ig%C5%82%C4%85-2024-10051627"
"Joker: Folie à Deux",4,FALSE,"https://www.filmweb.pl/film/Joker%3A+Folie+%C3%A0+Deux-2024-10014539"
"Venom 3: Ostatni taniec",4,FALSE,"https://www.filmweb.pl/film/Venom+3%3A+Ostatni+taniec-2024-10022458"
"Transformers: Początek",7,TRUE,"https://www.filmweb.pl/film/Transformers%3A+Pocz%C4%85tek-2024-10046014"
"Dziki robot",8,TRUE,"https://www.filmweb.pl/film/Dziki+robot-2024-10049429"
"Caddo Lake",6,FALSE,"https://www.filmweb.pl/film/Caddo+Lake-2024-10060182"
"Madame Web",2,FALSE,"https://www.filmweb.pl/film/Madame+Web-2024-10007869"
