"name","rating","is_fav","link"
"Czarne lustro: Bandersnatch",7,FALSE,"https://www.filmweb.pl/film/Czarne+lustro%3A+Bandersnatch-2018-818016"
"Rzeka wichru",3,FALSE,"https://www.filmweb.pl/film/Rzeka+wichru-1989-9606"
"Substancja",8,TRUE,"https://www.filmweb.pl/film/Substancja-2024-10051631"
"W ciemność. Star Trek",7,FALSE,"https://www.filmweb.pl/film/W+ciemno%C5%9B%C4%87.+Star+Trek-2013-521206"
"Star Trek",7,FALSE,"https://www.filmweb.pl/film/Star+Trek-2009-324810"
"Moon",8,TRUE,"https://www.filmweb.pl/film/Moon-2009-473111"
"Symetria",9,FALSE,"https://www.filmweb.pl/film/Symetria-2003-103907"
"Piękna katastrofa 2",2,FALSE,"https://www.filmweb.pl/film/Pi%C4%99kna+katastrofa+2-2024-10041521"
"Pulp Fiction",10,FALSE,"https://www.filmweb.pl/film/Pulp+Fiction-1994-1039"
"Nienawistna ósemka",9,TRUE,"https://www.filmweb.pl/film/Nienawistna+%C3%B3semka-2015-714192"
"Czas krwawego księżyca",9,FALSE,"https://www.filmweb.pl/film/Czas+krwawego+ksi%C4%99%C5%BCyca-2023-805204"
"Zdumiewająca historia Henry’ego Sugara",8,FALSE,"https://www.filmweb.pl/film/Zdumiewaj%C4%85ca+historia+Henry%E2%80%99ego+Sugara-2023-10039424"
"Zabójstwo Jesse'ego Jamesa przez tchórzliwego Roberta Forda",9,FALSE,"https://www.filmweb.pl/film/Zab%C3%B3jstwo+Jesse%27ego+Jamesa+przez+tch%C3%B3rzliwego+Roberta+Forda-2007-209978"
"Wielki Gatsby",8,FALSE,"https://www.filmweb.pl/film/Wielki+Gatsby-2013-506934"
"Pan życia i śmierci",7,FALSE,"https://www.filmweb.pl/film/Pan+%C5%BCycia+i+%C5%9Bmierci-2005-111532"
"Siedem",10,TRUE,"https://www.filmweb.pl/film/Siedem-1995-702"
"Green Book",8,TRUE,"https://www.filmweb.pl/film/Green+Book-2018-809630"
"Deadpool & Wolverine",7,FALSE,"https://www.filmweb.pl/film/Deadpool+%26+Wolverine-2024-868513"
"Diuna: Część druga",10,TRUE,"https://www.filmweb.pl/film/Diuna%3A+Cz%C4%99%C5%9B%C4%87+druga-2024-10003481"
"Furiosa: Saga Mad Max",8,FALSE,"https://www.filmweb.pl/film/Furiosa%3A+Saga+Mad+Max-2024-849788"
"Chłopi",9,TRUE,"https://www.filmweb.pl/film/Ch%C5%82opi-2023-857962"
"Co gryzie Gilberta Grape'a",8,FALSE,"https://www.filmweb.pl/film/Co+gryzie+Gilberta+Grape%27a-1993-1236"
"Matka Joanna od Aniołów",9,FALSE,"https://www.filmweb.pl/film/Matka+Joanna+od+Anio%C5%82%C3%B3w-1961-1468"
"Lucy",4,FALSE,"https://www.filmweb.pl/film/Lucy-2014-687712"
"Meg 2: Głębia",3,FALSE,"https://www.filmweb.pl/film/Meg+2%3A+G%C5%82%C4%99bia-2023-10010261"
"Battleship: Bitwa o Ziemię",3,FALSE,"https://www.filmweb.pl/film/Battleship%3A+Bitwa+o+Ziemi%C4%99-2012-540909"
"Inni ludzie",5,FALSE,"https://www.filmweb.pl/film/Inni+ludzie-2021-837100"
