"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Anora","2024","2h 19m","7,5","Sean Baker","USA","Dramat","Komedia"
"Lany poniedziałek","2024","1h 24m","5,7","Justyna Mytnik","Polska","Dramat","Komedia"
"Wicked","2024","2h 40m","7,4","Jon M. Chu","USA","Fantasy","Musical"
"Rzeczy niezbędne","2024","1h 50m","6,2","Kamila Tarabura","Polska","Dramat",NA
"Listy do M. Pożegnania i powroty","2024","2h 3m","6,2","Łukasz Jaworski","Polska","Komedia rom.","Świąteczny"
"Cisza nocna","2024","1h 27m","6,0","Bartosz M. Kowalski","Polska","Fantasy","Thriller"
"Minghun","2024","1h 30m","6,2","Jan P. Matuszyński","Polska","Dramat","Nowości"
"Sezony","2024","1h 40m","7,2","Michał Grzybowski","Polska","Dramat","Komedia"
"Wrooklyn Zoo","2024","2h 8m","5,6","Krzysztof Skonieczny","Polska","Melodramat","Sensacyjny"
"Pod wulkanem","2024","1h 45m","5,6","Damian Kocur","Polska","Dramat","Filmweb poleca"
"Kulej. Dwie strony medalu","2024","2h 19m","7,0","Xawery Żuławski","Polska","Biograficzny","Top 2024 roku #42"
"Smok Diplodok","2024","1h 33m","6,5","Wojtek Wawszczyk","Polska","Animacja","Familijny"
"Drużyna A(A)","2024","2h 12m","5,6","Daniel Jaroszek","Polska","Dramat","Komedia"
"Motocykliści","2023","1h 56m","6,1","Jeff Nichols","USA","Dramat","Kryminał"
"Mean Girls","2024","1h 52m","5,1","Samantha Jayne","USA","Komedia","Musical"
"Kung Fu Panda 4","2024","1h 34m","6,3","Mike Mitchell","USA","Animacja","Familijny"
"Dziewczyna influencera","2024","1h 34m","3,5","Szymon Gonera","Polska","Dramat obyczajowy",NA
"Kneecap. Hip-hopowa rewolucja","2024","1h 45m","7,6","Rich Peppiatt","Irlandia","Dramat","Komedia"
"Gladiator II","2024","2h 28m","6,4","Ridley Scott","USA","Dramat historyczny","Top 2024 roku #91"
"Kobieta w klatce","2013","1h 40m","7,0","Mikkel Nørgaard","Dania","Kryminał","Thriller"
"Terrifier 3","2024","2h 5m","5,9","Damien Leone","USA","Horror",NA
"Dziewczyna z igłą","2024","1h 55m","chce zobaczyć","Magnus von Horn","Dania","Dramat","Top 2024 roku #14"
"Joker: Folie à Deux","2024","2h 18m","5,3","Todd Phillips","USA","Dramat","Kryminał"
"Venom 3: Ostatni taniec","2024","1h 50m","6,0","Kelly Marcel","USA","Akcja","Sci-Fi"
"Transformers: Początek","2024","1h 44m","7,2","Josh Cooley","USA","Animacja","Akcja"
"Dziki robot","2024","1h 41m","8,2","Chris Sanders","USA","Animacja","Przygodowy"
"Caddo Lake","2024","1h 44m","6,5","Logan George","USA","Thriller","Sci-Fi"
"Madame Web","2024","1h 56m","4,0","S.J. Clarkson","USA","Akcja","Sci-Fi"
"Uśmiechnij się","2022","1h 55m","6,3","Parker Finn","USA","Horror","Top 2022 roku #51"
"Otchłań","1989","2h 26m","7,3","James Cameron","USA","Przygodowy","Sci-Fi"
"Głębia strachu","2020","1h 35m","5,5","William Eubank","USA","Thriller","Sci-Fi"
"Sok z żuka","1988","1h 32m","7,2","Tim Burton","USA","Fantasy","Czarna komedia"
"Beetlejuice Beetlejuice","2024","1h 44m","6,3","Tim Burton","USA","Fantasy","Czarna komedia"
"Rodzaje życzliwości","2024","2h 45m","6,2","Yórgos Lánthimos","USA","Dramat",NA
"Substancja","2024","2h 20m","6,9","Coralie Fargeat","USA","Horror","Filmweb poleca"
"Pułapka","2024","1h 45m","5,3","M. Night Shyamalan","USA","Kryminał","Thriller"
"Strange Darling","2023","1h 36m","7,3","J.T. Mollner","USA","Thriller","Top 2023 roku #25"
"Obcy: Romulus","2024","1h 59m","6,4","Fede Álvarez","USA","Horror","Sci-Fi"
"Pogromcy duchów: Imperium lodu","2024","1h 55m","5,6","Gil Kenan","USA","Fantasy","Komedia"
"Królestwo","2007","1h 50m","7,3","Peter Berg","USA","Dramat","Sensacyjny"
"Ministerstwo Niebezpiecznych Drani","2024","2h","6,2","Guy Ritchie","USA","Komedia","Wojenny"
"Deadpool & Wolverine","2024","2h 7m","7,0","Shawn Levy","USA","Komedia","Akcja"
"Kod zła","2024","1h 41m","6,5","Osgood Perkins","USA","Horror","Thriller"
"Twisters","2024","2h 2m","6,0","Lee Isaac Chung","USA","Katastroficzny",NA
"Banksterzy","2020","1h 46m","5,5","Marcin Ziębiński","Polska","Dramat","Top 2020 roku #72"
"MaXXXine","2024","1h 43m","6,2","Ti West","USA","Horror","Kryminał"
"Twister","1996","1h 53m","6,5","Jan De Bont","USA","Katastroficzny","Top 1996 roku #47"
"Popiół i diament","1958","1h 50m","7,8","Andrzej Wajda","Polska","Dramat","Psychologiczny"
"Gliniarz z Beverly Hills: Axel F","2024","1h 57m","6,3","Mark Molloy","USA","Komedia kryminalna",NA
"Ciche miejsce: Dzień pierwszy","2024","1h 40m","5,6","Michael Sarnoski","USA","Horror","Sci-Fi"
"Do granic","2022","1h 17m","6,7","Alejandro Rojas","Hiszpania","Thriller","Psychologiczny"
"Spadek","2024","1h 34m","4,6","Sylwester Jakimow","Polska","Komedia",NA
"Jak ukradłem 100 milionów","2024","1h 35m","3,8","Michał Węgrzyn","Polska","Komedia kryminalna",NA
"Porady na zdrady 2","2023","1h 38m","4,1","Sara Bustamante-Drozdek","Polska","Komedia",NA
"W głowie się nie mieści 2","2024","1h 36m","7,5","Kelsey Mann","USA","Animacja","Komedia"
